代碼,股利發放年度,股利合計
1308,1994,0.8
1308,1993,2.0
1308,1992,2.0
1308,1991,2.0
1308,1990,2.0
1308,1989,5.0
1308,1988,6.0
1308,1987,3.0
1308,1986,0.5
1308,1985,1.0
1308,1984,1.0
1309,2022,2.5
1309,2021,3.0
1309,2020,0.6
1309,2019,0.4
1309,2018,0.0
1309,2017,0.0
1309,2016,0.0
1309,2015,0.0
1309,2014,0.0
1309,2013,0.0
1309,2012,0.7
1309,2011,1.7
1309,2010,0.0
1309,2009,0.0
1309,2008,0.5
1309,2007,0.0
1309,2006,0.0
1309,2005,0.5
1309,2004,0.0
1309,2003,0.0
1309,2002,0.0
1309,2001,0.0
1309,2000,0.6
1309,1999,1.0
1309,1998,0.5
1309,1997,0.0
1309,1996,1.1
1309,1995,1.5
1309,1994,0.5
1309,1993,0.5
1309,1992,0.5
1309,1991,3.0
1309,1990,3.5
1309,1989,27.0
1309,1988,5.0
1309,1987,3.0
1309,1985,1.0
1309,1984,2.2
1310,2022,0.15
1310,2021,0.5
1310,2020,1.0
1310,2019,2.0
1310,2018,1.6
1310,2017,2.2
1310,2016,1.0
1310,2015,0.0
1310,2014,1.0
1310,2013,0.0
1310,2012,0.0
1310,2011,0.0
1310,2010,0.6
1310,2009,0.0
1310,2008,0.6
1310,2007,0.8
1310,2006,0.0
1310,2005,1.0
1310,2004,0.6
1310,2003,1.2
1310,2002,0.0
1310,2001,1.0
1310,2000,1.2
1310,1999,0.0
1310,1998,1.0
1310,1997,1.0
1310,1996,2.5
1310,1995,2.0
1310,1994,0.0
1310,1993,0.0
1310,1992,0.0
1310,1991,2.02
1310,1990,2.0
1310,1989,10.0
1310,1988,8.0
1310,1987,10.0
1310,1986,2.0
1312,2022,2.0
1312,2021,0.1
1312,2020,0.0
1312,2019,0.0
1312,2018,1.0
1312,2017,1.0
1312,2016,0.8
1312,2015,0.3
1312,2014,1.0
1312,2013,1.0
1312,2012,0.7
1312,2011,1.0
1312,2010,0.2
1312,2009,0.0
1312,2008,0.0
1312,2007,0.0
1312,2006,0.0
1312,2005,0.0
1312,2004,0.0
1312,2003,0.0
1312,2002,0.0
1312,2001,0.2
1312,2000,0.2
1312,1999,0.0
1312,1998,0.2
1312,1997,0.3
1312,1996,1.5
1312,1995,0.8
1312,1994,0.2
1312,1993,0.1
1312,1992,0.2
1312,1991,2.0
1312,1990,3.5
1312,1989,15.0
1312,1988,13.5
1313,2022,1.0
1313,2021,1.0
1313,2020,0.2
1313,2019,0.5
1313,2018,1.8
1313,2017,0.85
1313,2016,0.2
1313,2015,0.2
1313,2014,0.4
1313,2013,1.0
1313,2012,1.0
1313,2011,1.98
1313,2010,1.0
1313,2009,0.2
1313,2008,1.4
1313,2007,1.2
1313,2006,0.61
1313,2005,0.8
1313,2004,0.4
1313,2003,0.4
1313,2002,0.0
1313,2001,0.3
1313,2000,1.2
